epoch,HR,NDCG,data_name,model_name
1,0.44884106,0.249072595,ml-1m,mlp_0
2,0.453807947,0.25138452,ml-1m,mlp_0
3,0.454635762,0.251771065,ml-1m,mlp_0
4,0.449337748,0.250217363,ml-1m,mlp_0
5,0.45281457,0.251564218,ml-1m,mlp_0
6,0.451986755,0.252279995,ml-1m,mlp_0
7,0.451821192,0.251724671,ml-1m,mlp_0
8,0.451655629,0.252326783,ml-1m,mlp_0
9,0.452649007,0.252159838,ml-1m,mlp_0
10,0.453476821,0.252633353,ml-1m,mlp_0
1,0.449172185,0.25110363,ml-1m,mlp_1
2,0.497847682,0.276959197,ml-1m,mlp_1
3,0.522682119,0.287871216,ml-1m,mlp_1
4,0.544536424,0.305445678,ml-1m,mlp_1
5,0.557615894,0.312927213,ml-1m,mlp_1
6,0.573178808,0.31912244,ml-1m,mlp_1
7,0.581953642,0.325788671,ml-1m,mlp_1
8,0.583609272,0.327425534,ml-1m,mlp_1
9,0.595198675,0.333745832,ml-1m,mlp_1
10,0.591721854,0.330141174,ml-1m,mlp_1
1,0.496854305,0.274980302,ml-1m,mlp_2
2,0.548013245,0.306174929,ml-1m,mlp_2
3,0.581291391,0.326492957,ml-1m,mlp_2
4,0.59884106,0.33744307,ml-1m,mlp_2
5,0.604801325,0.344003021,ml-1m,mlp_2
6,0.614735099,0.351331206,ml-1m,mlp_2
7,0.616887417,0.350914359,ml-1m,mlp_2
8,0.621688742,0.357152026,ml-1m,mlp_2
9,0.625993377,0.35874638,ml-1m,mlp_2
10,0.627483444,0.362892132,ml-1m,mlp_2
1,0.540231788,0.298741878,ml-1m,mlp_3
2,0.58294702,0.328827142,ml-1m,mlp_3
3,0.611423841,0.346332866,ml-1m,mlp_3
4,0.619370861,0.356310211,ml-1m,mlp_3
5,0.632615894,0.365281593,ml-1m,mlp_3
6,0.642549669,0.373100173,ml-1m,mlp_3
7,0.643211921,0.373799054,ml-1m,mlp_3
8,0.648013245,0.376514644,ml-1m,mlp_3
9,0.646192053,0.375944441,ml-1m,mlp_3
10,0.652483444,0.377942349,ml-1m,mlp_3
1,0.549503311,0.303968931,ml-1m,mlp_4
2,0.60397351,0.344406293,ml-1m,mlp_4
3,0.626821192,0.357470673,ml-1m,mlp_4
4,0.644205298,0.372593765,ml-1m,mlp_4
5,0.649503311,0.377662801,ml-1m,mlp_4
6,0.660430464,0.385479291,ml-1m,mlp_4
7,0.660430464,0.381755237,ml-1m,mlp_4
8,0.662251656,0.388165919,ml-1m,mlp_4
9,0.658278146,0.382626972,ml-1m,mlp_4
10,0.664735099,0.386885915,ml-1m,mlp_4
1,0.271984344,0.139927683,pinterest-20,mlp_0
2,0.27078841,0.138911764,pinterest-20,mlp_0
3,0.272310508,0.13955208,pinterest-20,mlp_0
4,0.274466813,0.140805088,pinterest-20,mlp_0
5,0.27421313,0.140681743,pinterest-20,mlp_0
6,0.273814485,0.140775162,pinterest-20,mlp_0
7,0.274104409,0.140648867,pinterest-20,mlp_0
8,0.274412452,0.140774372,pinterest-20,mlp_0
9,0.273778245,0.140539773,pinterest-20,mlp_0
10,0.274412452,0.140705303,pinterest-20,mlp_0
1,0.617283056,0.333968613,pinterest-20,mlp_1
2,0.705292913,0.392067824,pinterest-20,mlp_1
3,0.770652509,0.441324853,pinterest-20,mlp_1
4,0.795912081,0.469366648,pinterest-20,mlp_1
5,0.810299527,0.486279516,pinterest-20,mlp_1
6,0.815065142,0.490597346,pinterest-20,mlp_1
7,0.819885118,0.494300474,pinterest-20,mlp_1
8,0.823944045,0.498906884,pinterest-20,mlp_1
9,0.82785801,0.502522596,pinterest-20,mlp_1
10,0.828129813,0.502906068,pinterest-20,mlp_1
1,0.663090945,0.360186167,pinterest-20,mlp_2
2,0.770145143,0.446487657,pinterest-20,mlp_2
3,0.808215703,0.484284757,pinterest-20,mlp_2
4,0.82003008,0.493914189,pinterest-20,mlp_2
5,0.826861399,0.502292788,pinterest-20,mlp_2
6,0.831844456,0.505661867,pinterest-20,mlp_2
7,0.833384674,0.506126908,pinterest-20,mlp_2
8,0.835921503,0.508702804,pinterest-20,mlp_2
9,0.835251056,0.509683859,pinterest-20,mlp_2
10,0.83392828,0.508389954,pinterest-20,mlp_2
1,0.728160618,0.403935712,pinterest-20,mlp_3
2,0.813851088,0.483477981,pinterest-20,mlp_3
3,0.833692717,0.502048026,pinterest-20,mlp_3
4,0.839183141,0.506817704,pinterest-20,mlp_3
5,0.841810571,0.511838713,pinterest-20,mlp_3
6,0.844184319,0.51178917,pinterest-20,mlp_3
7,0.843513871,0.511718003,pinterest-20,mlp_3
8,0.844927247,0.514396793,pinterest-20,mlp_3
9,0.843568232,0.513790733,pinterest-20,mlp_3
10,0.841828692,0.512778468,pinterest-20,mlp_3
1,0.739920633,0.414710297,pinterest-20,mlp_4
2,0.822421947,0.488619493,pinterest-20,mlp_4
3,0.835269176,0.504460718,pinterest-20,mlp_4
4,0.841158244,0.507896385,pinterest-20,mlp_4
5,0.847500317,0.516460705,pinterest-20,mlp_4
6,0.848823092,0.518343188,pinterest-20,mlp_4
7,0.850073387,0.517833075,pinterest-20,mlp_4
8,0.841883052,0.513832038,pinterest-20,mlp_4
9,0.835468498,0.507691977,pinterest-20,mlp_4
10,0.845579575,0.516949811,pinterest-20,mlp_4
