HR,NDCG
0.44519867549668873,0.24072024145208934
0.46125827814569537,0.2557526869295226
0.5158940397350993,0.28297946670815094
0.5645695364238411,0.3116593129500159
0.5793046357615894,0.3250599292471186
0.5948675496688741,0.33426963349057204
0.6019867549668875,0.3388113359332459
0.609271523178808,0.3470796521459045
0.6130794701986755,0.3495475816131833
0.618046357615894,0.35554551231153486
0.6200331125827815,0.3543432724309066
0.6283112582781457,0.3603545300844418
0.6304635761589404,0.36309345614071864
0.633774834437086,0.36671516936027837
0.6326158940397351,0.36423885656791266
0.634271523178808,0.36824659817459016
0.6374172185430463,0.3717789233018209
0.6450331125827815,0.3746615457144492
0.6394039735099337,0.37327304737531636
0.6473509933774835,0.3751031541080687
0.6428807947019868,0.37490682922785745
0.6493377483443709,0.37759913384838006
0.6427152317880794,0.3744998851759076
0.6470198675496689,0.376715017271273
0.6463576158940397,0.3792336453509242
0.6458609271523179,0.37818467669781236
0.6468543046357615,0.3770974765643297
0.6450331125827815,0.37729153631383083
0.6498344370860927,0.37737120200485347
0.6506622516556292,0.3801850865255367
0.6516556291390728,0.38100402087653673
0.6456953642384106,0.3786616321835304
0.6461920529801325,0.37865280350749436
0.648841059602649,0.3794404184992915
0.6475165562913907,0.37897903313739223
0.6483443708609271,0.37904336430565944
0.6465231788079471,0.37738255343137284
0.6486754966887417,0.37825690950043234
0.6470198675496689,0.37947453465522424
0.6524834437086092,0.38132506158886487
0.6461920529801325,0.37712356695194754
0.6483443708609271,0.3783889355214891
0.6468543046357615,0.37844577327597123
0.653476821192053,0.38110291530151696
0.6478476821192053,0.37753528958851346
0.6493377483443709,0.3805434377808627
0.6506622516556292,0.379966073388043
0.6524834437086092,0.38230280420952073
0.6483443708609271,0.37850854972582354
0.6516556291390728,0.38015140431451305
0.6533112582781457,0.3821265586460121
0.6543046357615894,0.38130869504063036
0.6514900662251656,0.3832793105232198
0.65,0.3797053873913116
0.6528145695364238,0.3830823923294961
0.6548013245033113,0.38341032791349655
0.6557947019867549,0.3848221167437294
0.6496688741721854,0.3790294269459954
0.6528145695364238,0.38058061270343674
0.6564569536423841,0.3828878728989154
0.6506622516556292,0.38015437470112073
0.6509933774834437,0.3804974460798216
0.6564569536423841,0.3851696247082895
0.6526490066225166,0.38266783068694793
0.6498344370860927,0.38225369511969637
0.6506622516556292,0.38251054539517776
0.648841059602649,0.38030835238395194
0.6533112582781457,0.38194031343351287
0.651158940397351,0.38116127497841207
0.6531456953642384,0.3812978172484194
0.6524834437086092,0.3822516248666533
0.6533112582781457,0.3844416298516486
0.6556291390728477,0.38466948726807726
0.6552980132450331,0.38225591009945314
0.6504966887417218,0.38365895026033847
0.6572847682119205,0.386262478489356
0.6501655629139073,0.38188836277517796
0.6521523178807948,0.38252498361046094
0.6564569536423841,0.38465206348905817
0.6518211920529802,0.38158232493248917
0.6552980132450331,0.3826180696944871
0.6564569536423841,0.3841887571845325
0.6562913907284769,0.3844109781212766
0.6539735099337748,0.38351393341917284
0.6516556291390728,0.3821120234921419
0.6552980132450331,0.3834801201446311
0.6508278145695364,0.381651999039093
0.6556291390728477,0.3841730449746535
0.6514900662251656,0.38059206357626474
0.6526490066225166,0.38188391309578884
0.6531456953642384,0.38382534353820663
0.6504966887417218,0.3799090938701585
0.6559602649006623,0.38442725370271763
0.652317880794702,0.38374258745540635
0.6566225165562913,0.3849270452964069
0.6571192052980133,0.3834981252264587
0.6544701986754967,0.3844040865178479
0.6539735099337748,0.3837518526551973
0.6554635761589404,0.3844645156666441
0.6549668874172185,0.38446023653954947
