batch_size,lr,factor,HR,NDCG
128,0.0001,8,0.4653973509933775,0.26118682446065655
128,0.0001,16,0.4698675496688742,0.2618172367395737
128,0.0001,32,0.46341059602649004,0.2582484725088227
128,0.0001,64,0.45927152317880793,0.248979254319324
128,0.0005,8,0.534933774834437,0.3032240164780982
128,0.0005,16,0.5562913907284768,0.31655992488643736
128,0.0005,32,0.5218543046357615,0.29450184979111965
128,0.0005,64,0.5059602649006623,0.28817599270631994
128,0.001,8,0.6223509933774835,0.3555489955824367
128,0.001,16,0.6389072847682119,0.37280474568004107
128,0.001,32,0.6359271523178808,0.3706639302739712
128,0.001,64,0.6476821192052981,0.38226878404436127
128,0.005,8,0.6375827814569537,0.3670074052274717
128,0.005,16,0.6736754966887417,0.3922825214539107
128,0.005,32,0.6864238410596026,0.4069367796099314
128,0.005,64,0.6736754966887417,0.3949045257434082
256,0.0001,8,0.46473509933774837,0.2603225047232348
256,0.0001,16,0.4316225165562914,0.23807003474819569
256,0.0001,32,0.45264900662251656,0.24451232788586622
256,0.0001,64,0.429635761589404,0.23603557111861062
256,0.0005,8,0.5802980132450332,0.32951129976471755
256,0.0005,16,0.48062913907284766,0.26976481272416875
256,0.0005,32,0.478476821192053,0.26725373510138284
256,0.0005,64,0.47152317880794703,0.26575487805661024
256,0.001,8,0.5670529801324503,0.32488998778323375
256,0.001,16,0.5448675496688742,0.31687281923301786
256,0.001,32,0.526158940397351,0.30283497977327123
256,0.001,64,0.5230132450331125,0.29512448748724374
256,0.005,8,0.6380794701986755,0.3669316538079399
256,0.005,16,0.6788079470198676,0.40198280699317995
256,0.005,32,0.6816225165562914,0.4055356218146144
256,0.005,64,0.6754966887417219,0.4005602069948666
512,0.0001,8,0.42251655629139073,0.229763534586915
512,0.0001,16,0.4652317880794702,0.2577076872083001
512,0.0001,32,0.41341059602649005,0.22065462378786568
512,0.0001,64,0.38079470198675497,0.1963717181963909
512,0.0005,8,0.5241721854304636,0.2847622039579797
512,0.0005,16,0.5119205298013245,0.2845894165176448
512,0.0005,32,0.4960264900662252,0.2776364037592849
512,0.0005,64,0.477317880794702,0.26392263444467146
512,0.001,8,0.5938741721854305,0.3351876042222954
512,0.001,16,0.5201986754966887,0.2862332872835311
512,0.001,32,0.5102649006622516,0.2881536098071354
512,0.001,64,0.4879139072847682,0.27478632151803833
512,0.005,8,0.6324503311258278,0.36275585173604075
512,0.005,16,0.6801324503311258,0.3987858974881121
512,0.005,32,0.6821192052980133,0.4074865714276282
512,0.005,64,0.6768211920529801,0.40226856084653734
1024,0.0001,8,0.19751655629139073,0.09475026963120005
1024,0.0001,16,0.4609271523178808,0.25712764852296044
1024,0.0001,32,0.35380794701986756,0.1839012074780539
1024,0.0001,64,0.16258278145695365,0.07706351944778941
1024,0.0005,8,0.46043046357615897,0.25371197656704736
1024,0.0005,16,0.4814569536423841,0.2656720917918727
1024,0.0005,32,0.48493377483443706,0.26713544581509635
1024,0.0005,64,0.4836092715231788,0.2623207311154487
1024,0.001,8,0.4995033112582781,0.27965663034846655
1024,0.001,16,0.571523178807947,0.3209088532793489
1024,0.001,32,0.5614238410596026,0.3114817913106031
1024,0.001,64,0.4865894039735099,0.26936388900730807
1024,0.005,8,0.6350993377483444,0.3612644192733979
1024,0.005,16,0.6652317880794701,0.3899886142260889
1024,0.005,32,0.6783112582781456,0.40556781636149314
1024,0.005,64,0.6645695364238411,0.39580495554268197
