,ml-1m_GMF
0,0.4822847682119205
1,0.5531456953642384
2,0.5852649006622517
3,0.6019867549668875
4,0.614569536423841
5,0.6198675496688741
6,0.6188741721854305
7,0.6241721854304636
8,0.6205298013245033
9,0.623841059602649
10,0.6253311258278146
11,0.6276490066225165
12,0.6235099337748344
13,0.623841059602649
14,0.6264900662251656
15,0.6259933774834437
16,0.6243377483443708
17,0.6246688741721854
18,0.6225165562913907
19,0.6278145695364239
20,0.6264900662251656
21,0.6243377483443708
22,0.6228476821192053
23,0.6254966887417218
24,0.6268211920529801
25,0.6291390728476821
26,0.6243377483443708
27,0.6288079470198675
28,0.6291390728476821
29,0.6283112582781457
