,Model Type,Epoch,Hit Ratio,NDCG
203,neumf,0,0.5354,0.3007
204,neumf,0,0.5462,0.3079
215,neumf,1,0.5874,0.3332
216,neumf,1,0.5983,0.3414
228,neumf,2,0.627,0.3572
227,neumf,2,0.618,0.352
240,neumf,3,0.6414,0.3696
239,neumf,3,0.6243,0.361
252,neumf,4,0.6472,0.3752
251,neumf,4,0.6363,0.3662
264,neumf,5,0.6535,0.3829
263,neumf,5,0.6397,0.3707
276,neumf,6,0.6553,0.384
275,neumf,6,0.6483,0.3757
287,neumf,7,0.6593,0.3867
298,neumf,8,0.6624,0.3887
309,neumf,9,0.6697,0.3927
205,neumf,10,0.6699,0.3933
206,neumf,11,0.6747,0.3969
207,neumf,12,0.6707,0.3959
208,neumf,13,0.6727,0.3984
209,neumf,14,0.6786,0.402
210,neumf,15,0.6781,0.404
211,neumf,16,0.6811,0.4046
212,neumf,17,0.6815,0.4056
213,neumf,18,0.6821,0.4052
214,neumf,19,0.6859,0.4086
217,neumf,20,0.6863,0.4076
218,neumf,21,0.6871,0.4072
219,neumf,22,0.6846,0.404
220,neumf,23,0.6838,0.4051
221,neumf,24,0.6869,0.4062
222,neumf,25,0.6834,0.4071
223,neumf,26,0.6881,0.4092
224,neumf,27,0.6874,0.408
225,neumf,28,0.6876,0.4084
226,neumf,29,0.6833,0.4087
229,neumf,30,0.6823,0.4059
230,neumf,31,0.6825,0.4051
231,neumf,32,0.6838,0.4081
232,neumf,33,0.6823,0.4064
233,neumf,34,0.6831,0.4057
234,neumf,35,0.6841,0.4083
235,neumf,36,0.6813,0.408
236,neumf,37,0.6866,0.4069
237,neumf,38,0.6821,0.4046
238,neumf,39,0.6839,0.4061
241,neumf,40,0.6851,0.4061
242,neumf,41,0.6848,0.4044
243,neumf,42,0.6841,0.4062
244,neumf,43,0.6897,0.4085
245,neumf,44,0.6871,0.4083
246,neumf,45,0.6846,0.4076
247,neumf,46,0.6894,0.4085
248,neumf,47,0.6866,0.4071
249,neumf,48,0.6851,0.4074
250,neumf,49,0.6833,0.4056
253,neumf,50,0.6882,0.4062
254,neumf,51,0.6849,0.4061
255,neumf,52,0.6929,0.4086
256,neumf,53,0.6866,0.4057
257,neumf,54,0.6874,0.4061
258,neumf,55,0.6841,0.4066
259,neumf,56,0.6856,0.4067
260,neumf,57,0.6868,0.4083
261,neumf,58,0.6849,0.4073
262,neumf,59,0.6841,0.4078
265,neumf,60,0.6859,0.4071
266,neumf,61,0.6889,0.4067
267,neumf,62,0.6861,0.4078
268,neumf,63,0.6907,0.4097
269,neumf,64,0.6816,0.4048
270,neumf,65,0.6808,0.4062
271,neumf,66,0.6889,0.411
272,neumf,67,0.6841,0.4063
273,neumf,68,0.6856,0.4097
274,neumf,69,0.6859,0.4068
277,neumf,70,0.6886,0.4092
278,neumf,71,0.6897,0.4101
279,neumf,72,0.6909,0.4103
280,neumf,73,0.6873,0.408
281,neumf,74,0.6856,0.4082
282,neumf,75,0.6873,0.4085
283,neumf,76,0.6833,0.4062
284,neumf,77,0.6868,0.4081
285,neumf,78,0.6889,0.4076
286,neumf,79,0.6887,0.4104
288,neumf,80,0.6876,0.4077
289,neumf,81,0.6843,0.4074
290,neumf,82,0.6866,0.409
291,neumf,83,0.6917,0.4106
292,neumf,84,0.6869,0.4072
293,neumf,85,0.6892,0.4084
294,neumf,86,0.6884,0.4098
295,neumf,87,0.6884,0.4079
296,neumf,88,0.6897,0.4113
297,neumf,89,0.6902,0.4105
299,neumf,90,0.6894,0.411
300,neumf,91,0.6859,0.4082
301,neumf,92,0.6839,0.4076
302,neumf,93,0.6843,0.4081
303,neumf,94,0.6856,0.4072
304,neumf,95,0.6844,0.4056
305,neumf,96,0.6849,0.4078
306,neumf,97,0.6859,0.407
307,neumf,98,0.6879,0.4105
308,neumf,99,0.6848,0.41
